Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1721151168,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151169,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151170,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151171,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151172,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151173,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151174,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151175,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151176,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151177,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151178,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151179,8,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151180,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151181,12,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151182,14,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151183,16,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151184,18,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151185,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151186,22,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151187,24,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151188,26,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151189,28,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151190,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151191,32,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721151192,34,GET,/_matrix/client/v3/sync,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,2,1500,5543.5,1500,9587,11.0
1721151192,34,,Aggregated,0.000000,0.000000,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,2,2,1500,5543.5,1500,9587,11.0
1721151193,36,GET,/_matrix/client/v3/sync,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,34,34,8600,8560.176470588236,544,16587,11.0
1721151193,36,,Aggregated,0.000000,0.000000,8600,12000,13000,14000,16000,17000,17000,17000,17000,17000,17000,34,34,8600,8560.176470588236,544,16587,11.0
1721151194,38,GET,/_matrix/client/v3/sync,0.000000,0.000000,8600,12000,14000,14000,16000,17000,17000,17000,17000,17000,17000,34,34,8600,8560.176470588236,544,16587,11.0
1721151194,38,,Aggregated,0.000000,0.000000,8600,12000,14000,14000,16000,17000,17000,17000,17000,17000,17000,34,34,8600,8560.176470588236,544,16587,11.0
1721151195,40,GET,/_matrix/client/v3/sync,0.000000,0.000000,8600,12000,14000,14000,16000,17000,17000,17000,17000,17000,17000,34,34,8600,8560.176470588236,544,16587,11.0
1721151195,40,,Aggregated,0.000000,0.000000,8600,12000,14000,14000,16000,17000,17000,17000,17000,17000,17000,34,34,8600,8560.176470588236,544,16587,11.0
1721151196,42,PUT,/_matrix/client/v3/profile/_/displayname,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,67,67.0,67,67,19.0
1721151196,42,GET,/_matrix/client/v3/sync,3.400000,3.400000,7600,11000,13000,14000,16000,17000,17000,17000,17000,17000,17000,40,40,6600,7330.225,347,16587,12.2
1721151196,42,,Aggregated,3.400000,3.400000,6600,11000,13000,14000,16000,17000,17000,17000,17000,17000,17000,41,41,6600,7153.073170731707,67,16587,12.365853658536585
1721151197,44,PUT,/_matrix/client/v3/profile/_/displayname,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,67,67.0,67,67,19.0
1721151197,44,GET,/_matrix/client/v3/sync,3.400000,3.400000,7600,11000,13000,14000,16000,17000,17000,17000,17000,17000,17000,40,40,6600,7330.225,347,16587,12.2
1721151197,44,,Aggregated,3.400000,3.400000,6600,11000,13000,14000,16000,17000,17000,17000,17000,17000,17000,41,41,6600,7153.073170731707,67,16587,12.365853658536585
1721151198,46,PUT,/_matrix/client/v3/profile/_/displayname,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,67,67.0,67,67,19.0
1721151198,46,GET,/_matrix/client/v3/sync,3.400000,3.400000,7600,11000,13000,14000,16000,17000,17000,17000,17000,17000,17000,40,40,6600,7330.225,347,16587,12.2
1721151198,46,,Aggregated,3.400000,3.400000,6600,11000,13000,14000,16000,17000,17000,17000,17000,17000,17000,41,41,6600,7153.073170731707,67,16587,12.365853658536585
1721151199,48,PUT,/_matrix/client/v3/profile/_/displayname,0.100000,0.100000,0,0,0,0,0,0,0,0,0,0,0,1,1,67,67.0,67,67,19.0
1721151199,48,GET,/_matrix/client/v3/sync,4.000000,4.000000,5500,9600,12000,13000,15000,16000,17000,17000,17000,17000,17000,46,46,5500,6421.673913043478,347,16587,13.08695652173913
1721151199,48,,Aggregated,4.100000,4.100000,5500,8600,12000,13000,15000,16000,17000,17000,17000,17000,17000,47,47,5500,6286.468085106383,67,16587,13.212765957446809
1721151200,50,PUT,/_matrix/client/v3/profile/_/displayname,0.100000,0.100000,0,0,0,0,0,0,0,0,0,0,0,1,1,67,67.0,67,67,19.0
1721151200,50,GET,/_matrix/client/v3/sync,4.000000,4.000000,5500,9600,12000,13000,15000,16000,17000,17000,17000,17000,17000,46,46,5500,6421.673913043478,347,16587,13.08695652173913
1721151200,50,,Aggregated,4.100000,4.100000,5500,8600,12000,13000,15000,16000,17000,17000,17000,17000,17000,47,47,5500,6286.468085106383,67,16587,13.212765957446809
1721151201,52,PUT,/_matrix/client/v3/profile/_/displayname,0.100000,0.100000,0,0,0,0,0,0,0,0,0,0,0,1,1,67,67.0,67,67,19.0
1721151201,52,GET,/_matrix/client/v3/sync,4.200000,4.200000,5500,8600,12000,13000,15000,16000,17000,17000,17000,17000,17000,47,47,5500,6292.872340425532,347,16587,13.212765957446809
1721151201,52,,Aggregated,4.300000,4.300000,5500,8600,12000,13000,15000,16000,17000,17000,17000,17000,17000,48,48,4500,6163.166666666667,67,16587,13.333333333333334
1721151202,54,PUT,/_matrix/client/v3/profile/_/displayname,0.200000,0.200000,69,69,69,69,69,69,69,69,69,69,69,5,5,69,68.4,67,69,19.0
1721151202,54,GET,/_matrix/client/v3/sync,4.600000,4.600000,4500,8600,11000,13000,15000,16000,17000,17000,17000,17000,17000,52,52,3500,5722.7692307692305,347,16587,13.76923076923077
